iteration,mean_episode_reward,final_success_rate
158,-37.08094787597656,0.0
159,-37.145870208740234,0.0
160,-36.77943801879883,0.0
161,-36.593135833740234,0.0
162,-36.65725326538086,0.0
163,-36.976165771484375,0.0
164,-36.20780563354492,0.0
165,-36.857242584228516,0.0
166,-37.08836364746094,0.0
167,-37.42837142944336,0.0
168,-36.817726135253906,0.0
169,-37.111305236816406,0.0
170,-37.02092361450195,0.0
171,-37.217769622802734,0.0
172,-36.96338653564453,0.0
173,-37.02037048339844,0.0
174,-37.05797576904297,0.0
175,-36.74015426635742,0.0
176,-36.90104293823242,0.0
177,-36.92348861694336,0.0
178,-37.12380599975586,0.0
179,-37.27442932128906,0.0
180,-36.783023834228516,0.00390625
181,-36.941932678222656,0.0
182,-36.805728912353516,0.0
183,-36.87959671020508,0.0
184,-37.28153991699219,0.0
185,-37.054161071777344,0.0
186,-37.10946273803711,0.0
187,-36.904624938964844,0.0
188,-36.915016174316406,0.0
189,-37.27695083618164,0.0
190,-36.53900146484375,0.0
191,-36.82515335083008,0.0
192,-36.971656799316406,0.0
193,-36.95734786987305,0.0
194,-36.641929626464844,0.00390625
195,-37.16794204711914,0.0
196,-37.02769470214844,0.0
197,-37.07013702392578,0.0
198,-36.970489501953125,0.0
199,-37.00165557861328,0.0
200,-36.71002960205078,0.0
