scenario_id,success,final_distance_object_target,final_distance_gripper_object
0,0,0.6112327575683594,0.03858882188796997
1,1,0.04939546063542366,0.10674195736646652
2,0,0.40320661664009094,0.01978600025177002
3,0,0.5658838152885437,0.03444039821624756
4,0,0.3116675317287445,0.021516233682632446
5,1,0.06909248232841492,0.12591467797756195
6,1,0.022748131304979324,0.16433869302272797
7,0,0.9581501483917236,0.06524109840393066
8,0,0.35834410786628723,0.015626445412635803
9,0,0.28998664021492004,0.01704980432987213
10,0,0.4529564082622528,0.037708580493927
11,0,0.5540453195571899,0.03441745042800903
12,0,0.30406302213668823,0.008938699960708618
13,0,0.5009268522262573,0.02882334589958191
14,0,0.3072546124458313,0.01983518898487091
15,1,0.05947920307517052,0.16525991261005402
16,0,0.263860821723938,0.011987641453742981
17,0,0.2668255567550659,0.012753523886203766
18,0,0.27729129791259766,0.0049584731459617615
19,0,0.38972991704940796,0.0308857262134552
20,0,0.45625633001327515,0.024928569793701172
21,0,0.37836119532585144,0.016711831092834473
22,0,0.29430967569351196,0.006920874118804932
23,0,0.7732106447219849,0.0689191222190857
24,0,0.2960861027240753,0.007403895258903503
25,0,0.27024662494659424,0.002866603434085846
26,0,0.2577124834060669,0.01008424162864685
27,0,0.3705308735370636,0.01654455065727234
28,1,0.06546428054571152,0.11293569952249527
29,0,0.25998058915138245,0.011006467044353485
30,0,0.28042376041412354,0.004565998911857605
31,0,0.25979310274124146,0.01122325286269188
32,1,0.060133080929517746,0.0881272405385971
33,0,0.373603492975235,0.01650145649909973
34,0,0.28489407896995544,0.005597829818725586
35,1,0.061950910836458206,0.15228483080863953
36,0,0.3283537030220032,0.01121300458908081
37,0,0.31307971477508545,0.00954824686050415
38,0,0.340974897146225,0.024319946765899658
39,0,0.3058018386363983,0.019247472286224365
40,0,0.2614307999610901,0.011085659265518188
41,0,1.0307763814926147,0.06398993730545044
42,0,0.27929621934890747,0.015360541641712189
43,0,0.3522277772426605,0.013873949646949768
44,0,0.2792009711265564,0.015244521200656891
45,0,0.29926633834838867,0.008247405290603638
46,0,0.2649257779121399,0.012365713715553284
47,0,0.2714829444885254,0.013572730123996735
48,1,0.02248120866715908,0.15307040512561798
49,0,0.28309646248817444,0.005055636167526245
50,1,0.040073949843645096,0.1596616506576538
51,0,0.32088831067085266,0.010293975472450256
52,0,0.26152604818344116,0.011429078876972198
53,0,0.26268690824508667,0.011439338326454163
54,0,0.2844429612159729,0.01579809933900833
55,1,0.021895810961723328,0.10007015615701675
56,0,0.2986205518245697,0.008018136024475098
57,0,0.3150525391101837,0.009645745158195496
58,0,0.27424266934394836,0.00399450957775116
59,0,0.4512217342853546,0.02460542321205139
60,0,0.6111003756523132,0.03885287046432495
61,0,0.9283426403999329,0.0637812614440918
62,0,0.3491794168949127,0.013547524809837341
63,1,0.04158397391438484,0.16448864340782166
64,0,0.3527217507362366,0.014564365148544312
65,0,0.3162476718425751,0.00978347659111023
66,0,0.2620593309402466,0.012237437069416046
67,0,1.0307763814926147,0.06399542093276978
68,1,0.036017030477523804,0.1531006544828415
69,0,0.4523024260997772,0.03698432445526123
70,0,0.33249160647392273,0.011774390935897827
71,0,0.25689756870269775,0.00982549786567688
72,0,0.5101131200790405,0.04331812262535095
73,0,0.2948039174079895,0.006971836090087891
74,0,0.4118647277355194,0.032565414905548096
75,0,0.2843608260154724,0.005297422409057617
76,0,0.29854655265808105,0.0073159486055374146
77,0,0.25655895471572876,0.00965067371726036
78,0,0.2563699781894684,0.00962156057357788
79,0,0.26759353280067444,0.013282351195812225
80,0,1.0307763814926147,0.09046101570129395
81,0,0.6319111585617065,0.039683520793914795
82,0,0.30009177327156067,0.01861855387687683
83,0,0.9083150029182434,0.08155536651611328
84,0,0.3141329884529114,0.009541094303131104
85,1,0.036164071410894394,0.15266475081443787
86,0,0.29887762665748596,0.007529959082603455
87,0,0.28279924392700195,0.0054755061864852905
88,0,0.4041684567928314,0.02040576934814453
89,1,0.042547013610601425,0.12558108568191528
90,0,0.7352907061576843,0.06539827585220337
91,1,0.05144241452217102,0.15784867107868195
92,0,0.28258994221687317,0.015912868082523346
93,1,0.06208810582756996,0.10251031070947647
94,1,0.014782334677875042,0.10558699071407318
95,1,0.03363469988107681,0.1431313306093216
96,1,0.06219823285937309,0.14047782123088837
97,0,0.29501235485076904,0.018216148018836975
98,0,0.2760269343852997,0.014583505690097809
99,0,0.8093971014022827,0.07202386856079102
